id,name,email,status,species,gender,origin_name,location_name,episode_count
48,Black Rick,black.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,2
49,Blamph,blamph.blamph@krom.id,Alive,Alien,unknown,unknown,Interdimensional Cable,1
50,Blim Blam,blim.blam@krom.id,Alive,Alien,Male,unknown,Earth (Replacement Dimension),1
51,Blue Diplomat,blue.diplomat@krom.id,Alive,Alien,Male,unknown,Interdimensional Cable,1
52,Blue Footprint Guy,blue.guy@krom.id,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
53,Blue Shirt Morty,blue.morty@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
54,Bobby Moynihan,bobby.moynihan@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
55,Boobloosian,boobloosian.boobloosian@krom.id,Dead,Alien,unknown,unknown,Nuptia 4,2
56,Bootleg Portal Chemist Rick,bootleg.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
57,Borpocian,borpocian.borpocian@krom.id,Alive,Alien,Male,unknown,unknown,1
58,Brad,brad.brad@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),4
59,Brad Anderson,brad.anderson@krom.id,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
60,Calypso,calypso.calypso@krom.id,Dead,Human,Female,unknown,unknown,1
61,Campaign Manager Morty,campaign.morty@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
62,Canklanker Thom,canklanker.thom@krom.id,Dead,Alien,Male,Gromflom Prime,unknown,1
63,Centaur,centaur.centaur@krom.id,Alive,Mythological Creature,Male,unknown,Mr. Goldenfold's dream,1
64,Chris,chris.chris@krom.id,Dead,Alien,unknown,unknown,Earth (Replacement Dimension),1
65,Chris,chris.chris@krom.id,Alive,Humanoid,Male,Rick's Battery Microverse,Rick's Battery Microverse,1
66,Coach Feratu (Balik Alistane),coach.alistane)@krom.id,Dead,Mythological Creature,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
67,Collector,collector.collector@krom.id,Alive,Alien,Male,The Menagerie,The Menagerie,1
68,Colossus,colossus.colossus@krom.id,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
69,Commander Rick,commander.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
70,Concerto,concerto.concerto@krom.id,Dead,Humanoid,Male,unknown,unknown,1
71,Conroy,conroy.conroy@krom.id,Dead,Robot,unknown,Earth (Replacement Dimension),Earth (C-137),1
72,Cool Rick,cool.rick@krom.id,Alive,Human,Male,Earth (K-83),Citadel of Ricks,1
73,Cop Morty,cop.morty@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
74,Cop Rick,cop.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
75,Courier Flap,courier.flap@krom.id,Alive,Alien,unknown,unknown,Planet Squanch,1
76,Cousin Nicky,cousin.nicky@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
77,Cowboy Morty,cowboy.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
78,Cowboy Rick,cowboy.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,2
79,Crab Spider,crab.spider@krom.id,Alive,Alien,unknown,Hideout Planet,Hideout Planet,1
80,Creepy Little Girl,creepy.girl@krom.id,Alive,Human,Female,unknown,Mr. Goldenfold's dream,1
81,Crocubot,crocubot.crocubot@krom.id,Dead,Animal,Male,unknown,Worldender's lair,1
82,Cronenberg Rick,cronenberg.rick@krom.id,unknown,Cronenberg,Male,Cronenberg Earth,Earth (C-137),2
83,Cronenberg Morty,cronenberg.morty@krom.id,unknown,Cronenberg,Male,Cronenberg Earth,Earth (C-137),2
84,Cult Leader Morty,cult.morty@krom.id,Alive,Human,Male,unknown,Hideout Planet,1
85,Cyclops Morty,cyclops.morty@krom.id,Alive,Humanoid,Male,unknown,Citadel of Ricks,2
86,Cyclops Rick,cyclops.rick@krom.id,Dead,Humanoid,Male,unknown,Citadel of Ricks,3
87,Cynthia,cynthia.cynthia@krom.id,Dead,Alien,Female,unknown,Zigerion's Base,1
88,Cynthia,cynthia.cynthia@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),4
89,Dale,dale.dale@krom.id,Dead,Mythological Creature,Male,Giant's Town,Giant's Town,1
90,Daron Jefferson,daron.jefferson@krom.id,Alive,Alien,Male,Unity's Planet,Unity's Planet,1
91,David Letterman,david.letterman@krom.id,Alive,Human,Male,Earth (C-500A),Earth (C-500A),1
92,Davin,davin.davin@krom.id,Dead,Human,Male,Earth (C-137),Earth (C-137),2
93,Diablo Verde,diablo.verde@krom.id,Dead,Mythological Creature,Male,unknown,Dorian 5,1
94,Diane Sanchez,diane.sanchez@krom.id,Dead,Human,Female,Earth (C-137),Rick's Memories,2
95,Dipper and Mabel Mortys,dipper.mortys@krom.id,unknown,Human,unknown,unknown,Citadel of Ricks,1
96,Tuberculosis,tuberculosis.tuberculosis@krom.id,Dead,Disease,unknown,Anatomy Park,Anatomy Park,1
97,Gonorrhea,gonorrhea.gonorrhea@krom.id,Dead,Disease,unknown,Anatomy Park,Anatomy Park,1
98,Hepatitis A,hepatitis.a@krom.id,Dead,Disease,unknown,Anatomy Park,Anatomy Park,1
99,Hepatitis C,hepatitis.c@krom.id,Dead,Disease,unknown,Anatomy Park,Anatomy Park,1
100,Bubonic Plague,bubonic.plague@krom.id,Dead,Disease,unknown,Anatomy Park,Anatomy Park,1
101,E. Coli,e..coli@krom.id,Dead,Disease,unknown,Anatomy Park,Anatomy Park,1
102,Donna Gueterman,donna.gueterman@krom.id,Dead,Robot,Female,unknown,Planet Squanch,1
103,Doofus Rick,doofus.rick@krom.id,unknown,Human,Male,Earth (J19ζ7),Earth (Replacement Dimension),2
104,Doom-Nomitron,doom-nomitron.doom-nomitron@krom.id,Dead,Alien,unknown,unknown,Dorian 5,1
105,Dr. Glip-Glop,dr..glip-glop@krom.id,Dead,Alien,Male,unknown,St. Gloopy Noops Hospital,1
106,Dr. Schmidt,dr..schmidt@krom.id,unknown,Human,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,1
107,Dr. Wong,dr..wong@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),2
108,Dr. Xenon Bloom,dr..bloom@krom.id,Dead,Humanoid,Male,unknown,Anatomy Park,1
109,Duck With Muscles,duck.muscles@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
110,Eli,eli.eli@krom.id,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
111,Eli's Girlfriend,eli's.girlfriend@krom.id,Alive,Human,Female,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
112,Eric McMan,eric.mcman@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),1
113,Eric Stoltz Mask Morty,eric.morty@krom.id,unknown,Human,Male,Eric Stoltz Mask Earth,Earth (Replacement Dimension),1
114,Ethan,ethan.ethan@krom.id,unknown,Human,Male,Earth (C-137),Earth (C-137),1
115,Ethan,ethan.ethan@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),2
116,Evil Beth Clone,evil.clone@krom.id,Dead,Human,Female,unknown,Earth (C-137),1
117,Evil Jerry Clone,evil.clone@krom.id,Dead,Human,Male,unknown,Earth (C-137),1
118,Evil Morty,evil.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,3
119,Evil Rick,evil.rick@krom.id,Dead,Humanoid,Male,unknown,Citadel of Ricks,1
120,Evil Summer Clone,evil.clone@krom.id,Dead,Human,Female,unknown,Earth (C-137),1
121,Eyehole Man,eyehole.man@krom.id,Alive,Alien,Male,unknown,Interdimensional Cable,1
122,Fart,fart.fart@krom.id,Dead,Alien,Male,unknown,unknown,1
123,Fat Morty,fat.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
124,Father Bob,father.bob@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),2
125,Flansian,flansian.flansian@krom.id,Alive,Alien,unknown,unknown,Planet Squanch,3
126,Fleeb,fleeb.fleeb@krom.id,unknown,Alien,unknown,unknown,Interdimensional Cable,1
127,Frank Palicky,frank.palicky@krom.id,Dead,Human,Male,Earth (C-137),Earth (C-137),1
128,Frankenstein's Monster,frankenstein's.monster@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
129,Fulgora,fulgora.fulgora@krom.id,Alive,Human,Female,unknown,Interdimensional Cable,3
130,Galactic Federation President,galactic.president@krom.id,Dead,Alien,Male,unknown,unknown,1
131,Gar Gloonch,gar.gloonch@krom.id,Dead,Alien,Male,unknown,Nuptia 4,3
132,Gar's Mytholog,gar's.mytholog@krom.id,Dead,Mythological Creature,Male,Nuptia 4,Nuptia 4,1
133,Garblovian,garblovian.garblovian@krom.id,Alive,Alien,Male,Glaagablaaga,unknown,3
134,Garmanarnar,garmanarnar.garmanarnar@krom.id,Alive,Alien,Male,unknown,Interdimensional Cable,1
135,Garment District Rick,garment.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
136,Gazorpazorpfield,gazorpazorpfield.gazorpazorpfield@krom.id,Alive,Alien,Male,Gazorpazorp,Interdimensional Cable,2
137,Gene,gene.gene@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),2
138,General Nathan,general.nathan@krom.id,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
139,General Store Owner,general.owner@krom.id,Dead,Alien,Male,Purge Planet,Purge Planet,1
140,Genital Washer,genital.washer@krom.id,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
141,Ghost in a Jar,ghost.jar@krom.id,Dead,Alien,Genderless,unknown,Earth (Replacement Dimension),1
142,Gibble Snake,gibble.snake@krom.id,Dead,Alien,unknown,Resort Planet,Resort Planet,1
143,Glasses Morty,glasses.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
144,Glenn,glenn.glenn@krom.id,Dead,Alien,Male,unknown,Interdimensional Customs,1
145,Glenn,glenn.glenn@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
146,Glexo Slim Slom,glexo.slom@krom.id,Alive,Alien,Male,unknown,Nuptia 4,1
147,Gobo,gobo.gobo@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
148,Goddess Beth,goddess.beth@krom.id,unknown,Mythological Creature,Female,Nuptia 4,Nuptia 4,1
149,Gordon Lunas,gordon.lunas@krom.id,Dead,Human,Male,unknown,Earth (Replacement Dimension),1
150,Cornvelious Daniel,cornvelious.daniel@krom.id,Dead,Alien,Male,unknown,Galactic Federation Prison,1
151,Gwendolyn,gwendolyn.gwendolyn@krom.id,unknown,Robot,Female,Gazorpazorp,Earth (Replacement Dimension),1
152,Hammerhead Morty,hammerhead.morty@krom.id,unknown,Humanoid,Male,unknown,Citadel of Ricks,2
153,Hamster In Butt,hamster.butt@krom.id,Alive,Animal,unknown,Hamster in Butt World,Hamster in Butt World,2
154,Hamurai,hamurai.hamurai@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
155,Harold,harold.harold@krom.id,Alive,Cronenberg,Male,Earth (C-137),Earth (C-137),1
156,Hemorrhage,hemorrhage.hemorrhage@krom.id,Alive,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
157,Hole in the Wall Where the Men Can See it All,hole.all@krom.id,unknown,unknown,Genderless,unknown,Interdimensional Cable,1
158,Hookah Alien,hookah.alien@krom.id,Alive,Alien,unknown,unknown,Interdimensional Customs,1
159,Hunter,hunter.hunter@krom.id,Dead,Human,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),1
160,Hunter's Father,hunter's.father@krom.id,Alive,Human,Male,Earth (Giant Telepathic Spiders Dimension),Earth (Giant Telepathic Spiders Dimension),1
161,Hydrogen-F,hydrogen-f.hydrogen-f@krom.id,Alive,Alien,Female,Alphabetrium,Alphabetrium,1
162,Ice-T,ice-t.ice-t@krom.id,Alive,Alien,Male,Alphabetrium,Alphabetrium,1
163,Ideal Jerry,ideal.jerry@krom.id,Dead,Mythological Creature,Male,Nuptia 4,Nuptia 4,1
164,Insurance Rick,insurance.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
165,Investigator Rick,investigator.rick@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
166,Invisi-trooper,invisi-trooper.invisi-trooper@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
167,Izzy,izzy.izzy@krom.id,Alive,Animal,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),1
168,Jackie,jackie.jackie@krom.id,Alive,Alien,Female,Gazorpazorp,Gazorpazorp,1
169,Jacob,jacob.jacob@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),2
170,Jacqueline,jacqueline.jacqueline@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
171,Jaguar,jaguar.jaguar@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
172,Jamey,jamey.jamey@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
173,Jan-Michael Vincent,jan-michael.vincent@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
174,Jerry 5-126,jerry.5-126@krom.id,Alive,Human,Male,Earth (5-126),Jerryboree,1
175,Jerry Smith,jerry.smith@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),7
176,Celebrity Jerry,celebrity.jerry@krom.id,Alive,Human,Male,Earth (C-500A),Earth (C-500A),1
177,Jerry Smith,jerry.smith@krom.id,Alive,Human,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),1
178,Jerry's Mytholog,jerry's.mytholog@krom.id,Dead,Mythological Creature,Male,Nuptia 4,Nuptia 4,1
179,Jessica,jessica.jessica@krom.id,Alive,Cronenberg,Female,Earth (C-137),Earth (C-137),3
180,Jessica,jessica.jessica@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),12
181,Jessica's Friend,jessica's.friend@krom.id,Alive,Human,Female,Earth (C-137),Earth (Replacement Dimension),8
182,Jim,jim.jim@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
183,Johnny Depp,johnny.depp@krom.id,Alive,Human,Male,Earth (C-500A),Earth (C-500A),1
184,Jon,jon.jon@krom.id,Alive,Alien,Male,Gazorpazorp,Interdimensional Cable,1
185,Joseph Eli Lipkip,joseph.lipkip@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
186,Joyce Smith,joyce.smith@krom.id,Alive,Human,Female,Earth (C-137),Earth (C-137),1
187,Juggling Rick,juggling.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
188,Karen Entity,karen.entity@krom.id,Alive,Alien,Female,Unity's Planet,Unity's Planet,1
189,Katarina,katarina.katarina@krom.id,Dead,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
190,Keara,keara.keara@krom.id,Alive,Alien,Female,Krootabulon,Earth (Replacement Dimension),1
191,Kevin,kevin.kevin@krom.id,Dead,Alien,Male,unknown,Zigerion's Base,1
192,King Flippy Nips,king.nips@krom.id,Alive,Alien,Male,Pluto,Pluto,1
193,King Jellybean,king.jellybean@krom.id,Dead,Mythological Creature,Male,Fantasy World,Fantasy World,1
194,Kozbian,kozbian.kozbian@krom.id,Alive,Alien,unknown,unknown,Planet Squanch,1
195,Kristen Stewart,kristen.stewart@krom.id,Alive,Human,Female,Earth (C-500A),Earth (C-500A),1
196,Krombopulos Michael,krombopulos.michael@krom.id,Dead,Alien,Male,unknown,unknown,1
197,Kyle,kyle.kyle@krom.id,Dead,Humanoid,Male,Zeep Xanflorp's Miniverse,Kyle's Teenyverse,1
198,Lady Katana,lady.katana@krom.id,Dead,Humanoid,Female,unknown,Dorian 5,1
199,Larva Alien,larva.alien@krom.id,Alive,Alien,unknown,Larva Alien's Planet,Planet Squanch,3
200,Lawyer Morty,lawyer.morty@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
201,Leonard Smith,leonard.smith@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),1
202,Lighthouse Keeper,lighthouse.keeper@krom.id,Dead,Alien,Male,Purge Planet,Purge Planet,1
203,Lil B,lil.b@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),2
204,Lisa,lisa.lisa@krom.id,Dead,Alien,Female,unknown,Immortality Field Resort,1
205,Little Dipper,little.dipper@krom.id,Alive,Humanoid,Male,unknown,Interdimensional Cable,1
206,Lizard Morty,lizard.morty@krom.id,Alive,Humanoid,Male,unknown,Citadel of Ricks,1
207,Loggins,loggins.loggins@krom.id,Alive,Alien,Male,unknown,Interdimensional Cable,3
208,Logic,logic.logic@krom.id,Alive,Human,Male,unknown,Worldender's lair,1
209,Long Sleeved Morty,long.morty@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
210,Lucy,lucy.lucy@krom.id,Dead,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
211,Ma-Sha,ma-sha.ma-sha@krom.id,Alive,Alien,Female,Gazorpazorp,Gazorpazorp,1
212,Magma-Q,magma-q.magma-q@krom.id,Dead,Alien,Male,Alphabetrium,Alphabetrium,1
213,Magnesium-J,magnesium-j.magnesium-j@krom.id,Alive,Alien,Male,Alphabetrium,Alphabetrium,1
214,Man Painted Silver Who Makes Robot Noises,man.noises@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
215,Maximums Rickimus,maximums.rickimus@krom.id,Dead,Human,Male,unknown,Rick's Memories,3
216,MC Haps,mc.haps@krom.id,Alive,Human,Male,Earth (C-137),Earth (C-137),3
217,Mechanical Morty,mechanical.morty@krom.id,Dead,Robot,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
218,Mechanical Rick,mechanical.rick@krom.id,unknown,Robot,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
219,Mechanical Summer,mechanical.summer@krom.id,unknown,Robot,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
220,Mega Fruit Farmer Rick,mega.rick@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
221,Melissa,melissa.melissa@krom.id,Alive,Mythological Creature,Female,Mr. Goldenfold's dream,Mr. Goldenfold's dream,1
222,Michael Denny and the Denny Singers,michael.singers@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
223,Michael Jenkins,michael.jenkins@krom.id,Dead,Human,Male,unknown,Interdimensional Cable,1
224,Michael McLick,michael.mclick@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
225,Michael Thompson,michael.thompson@krom.id,Alive,Humanoid,Male,unknown,Interdimensional Cable,1
226,Million Ants,million.ants@krom.id,Dead,Animal,Male,unknown,Worldender's lair,1
227,Mitch,mitch.mitch@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
228,Mohawk Guy,mohawk.guy@krom.id,Dead,Human,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,1
229,Morty Mart Manager Morty,morty.morty@krom.id,Alive,Human,Male,unknown,Citadel of Ricks,1
230,Morty Jr.,morty.jr.@krom.id,Alive,Humanoid,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
231,Morty Rick,morty.rick@krom.id,unknown,Human,Male,unknown,Citadel of Ricks,1
232,Morty Smith,morty.smith@krom.id,Alive,Human,Male,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),1
233,Morty K-22,morty.k-22@krom.id,Alive,Human,Male,Earth (K-22),Earth (Replacement Dimension),1
234,Morty Smith,morty.smith@krom.id,Dead,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
235,Mortytown Loco,mortytown.loco@krom.id,Dead,Human,Male,unknown,Citadel of Ricks,1
236,Mr. Beauregard,mr..beauregard@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
237,Mr. Benson,mr..benson@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
238,Mr. Booby Buyer,mr..buyer@krom.id,Alive,Mythological Creature,Male,Fantasy World,Fantasy World,1
239,Mr. Goldenfold,mr..goldenfold@krom.id,Alive,Cronenberg,Male,Earth (C-137),Earth (C-137),4
240,Mr. Goldenfold,mr..goldenfold@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),10
241,Mr. Marklovitz,mr..marklovitz@krom.id,Alive,Human,Male,Earth (C-137),Earth (Replacement Dimension),2
242,Mr. Meeseeks,mr..meeseeks@krom.id,unknown,Humanoid,Male,Mr. Meeseeks Box,Earth (Fascist Dimension),5
243,Mr. Needful,mr..needful@krom.id,Alive,Humanoid,Male,unknown,Earth (Replacement Dimension),1
244,Mr. Poopybutthole,mr..poopybutthole@krom.id,Alive,Poopybutthole,Male,unknown,Earth (Replacement Dimension),7
245,Mrs. Lipkip,mrs..lipkip@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),1
246,Mrs. Pancakes,mrs..pancakes@krom.id,Alive,Human,Female,Earth (C-137),Mr. Goldenfold's dream,2
247,Amy Poopybutthole,amy.poopybutthole@krom.id,Alive,Poopybutthole,Female,unknown,unknown,1
248,Mrs. Refrigerator,mrs..refrigerator@krom.id,Dead,Alien,Female,unknown,Earth (Replacement Dimension),1
249,Mrs. Sanchez,mrs..sanchez@krom.id,unknown,Human,Female,unknown,unknown,4
250,Mrs. Sullivan,mrs..sullivan@krom.id,Dead,Human,Female,Earth (C-500A),Interdimensional Cable,1
251,Nancy,nancy.nancy@krom.id,Alive,Human,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),6
252,Noob-Noob,noob-noob.noob-noob@krom.id,Alive,Poopybutthole,Male,unknown,Vindicator's Base,1
253,Numbericon,numbericon.numbericon@krom.id,unknown,Alien,unknown,unknown,Alphabetrium,1
254,Octopus Man,octopus.man@krom.id,Alive,Humanoid,Male,unknown,Interdimensional Cable,1
255,Orthodox Jew,orthodox.jew@krom.id,Alive,Human,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),1
256,Pat Gueterman,pat.gueterman@krom.id,Dead,Robot,Male,unknown,Planet Squanch,1
257,Paul Fleishman,paul.fleishman@krom.id,Alive,Human,Male,unknown,Jerryboree,1
258,Pawnshop Clerk,pawnshop.clerk@krom.id,Alive,Alien,Male,unknown,Pawn Shop Planet,1
259,Pencilvester,pencilvester.pencilvester@krom.id,Dead,Alien,Male,unknown,Earth (Replacement Dimension),1
260,Phillip Jacobs,phillip.jacobs@krom.id,Alive,Human,Male,unknown,Interdimensional Cable,1
261,Photography Cyborg,photography.cyborg@krom.id,unknown,Robot,Male,unknown,Planet Squanch,1
